id	linkkey	aidkey	bidkey	decision
1	65-40-01-000003_99-40-10-000619	65-40-01-000003	99-40-10-000619	confirm
2	65-40-01-000055_99-40-10-000260	65-40-01-000055	99-40-10-000260	reject
3	99-41-32-000004_99-40-10-002778	99-41-32-000004	99-40-10-002778	confirm
4	99-42-14-000002_99-41-14-000002	99-42-14-000002	99-41-14-000002	confirm
5	99-42-10-000002_99-41-10-000002	99-42-10-000002	99-41-10-000002	confirm
6	99-42-10-000004_99-41-10-000004	99-42-10-000004	99-41-10-000004	confirm
7	99-42-28-000011_99-41-28-000010	99-42-28-000011	99-41-28-000010	confirm
8	99-73-27-000001_99-71-27-000001	99-73-27-000001	99-71-27-000001	confirm
9	65-40-01-000090_99-40-10-000119	65-40-01-000090	99-40-10-000119	confirm
10	99-73-08-000001_99-71-07-000003	99-73-08-000001	99-71-07-000003	confirm
11	99-73-07-000002_99-71-10-001248	99-73-07-000002	99-71-10-001248	confirm
12	99-73-08-000002_99-71-10-000879	99-73-08-000002	99-71-10-000879	confirm
13	99-73-01-000002_99-71-10-001520	99-73-01-000002	99-71-10-001520	confirm
14	99-73-07-000003_99-71-10-000879	99-73-07-000003	99-71-10-000879	confirm
15	99-73-08-000004_99-71-10-001443	99-73-08-000004	99-71-10-001443	confirm
16	99-73-07-000004_99-71-10-001366	99-73-07-000004	99-71-10-001366	confirm
17	99-73-04-000004_99-71-01-000656	99-73-04-000004	99-71-01-000656	confirm
18	99-73-08-000005_99-71-01-000007	99-73-08-000005	99-71-01-000007	confirm
19	99-73-07-000006_99-71-01-000007	99-73-07-000006	99-71-01-000007	confirm
20	99-73-04-000006_99-71-07-000092	99-73-04-000006	99-71-07-000092	confirm
21	99-73-04-000007_99-71-04-000010	99-73-04-000007	99-71-04-000010	confirm
22	99-73-04-000008_99-71-01-001297	99-73-04-000008	99-71-01-001297	confirm
23	99-73-01-000008_99-71-10-001002	99-73-01-000008	99-71-10-001002	confirm
24	99-73-04-000010_99-71-01-001727	99-73-04-000010	99-71-01-001727	confirm
25	99-73-15-000011_99-71-01-000359	99-73-15-000011	99-71-01-000359	confirm
26	99-73-15-000012_99-71-01-000365	99-73-15-000012	99-71-01-000365	confirm
27	99-73-13-000013_99-71-13-000013	99-73-13-000013	99-71-13-000013	confirm
28	99-73-04-000014_99-71-01-001498	99-73-04-000014	99-71-01-001498	confirm
29	99-73-01-000015_99-71-10-005521	99-73-01-000015	99-71-10-005521	confirm
30	99-73-04-000017_99-71-04-000022	99-73-04-000017	99-71-04-000022	confirm
31	99-73-04-000019_99-71-04-000024	99-73-04-000019	99-71-04-000024	confirm
32	99-73-04-000020_99-71-04-000025	99-73-04-000020	99-71-04-000025	confirm
33	99-73-07-000022_99-71-07-000024	99-73-07-000022	99-71-07-000024	confirm
34	99-73-07-000023_99-71-07-000026	99-73-07-000023	99-71-07-000026	confirm
35	99-73-27-000026_99-71-10-004272	99-73-27-000026	99-71-10-004272	confirm
36	99-73-07-000026_99-71-07-000030	99-73-07-000026	99-71-07-000030	confirm
37	99-73-10-000027_99-71-28-004795	99-73-10-000027	99-71-28-004795	confirm
